"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"167","John Lovett (MIA)","3","6","2.0","4","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"168","Andrew Beck (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","10","0.0","0.0","0.0%"
"169","Jeremy Cox (FA)","0","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"170","Michael Warren II (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"171","Chris Myarick (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"172","Jake Bargas (NO)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"173","Nathan Cottrell (FA)","0","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"174","Nick Bellore (SEA)","1","5","5.0","5","0","0","1","1","9","9.0","0","0","16","0.0","0.0","35.0%"
"175","Bruce Miller (FA)","0","0","0","0","0","0","1","2","2","2.0","0","0","8","0.0","0.0","0.0%"
"176","Taiwan Jones (FA)","0","0","0","0","0","0","0","2","0","0","0","0","13","0.0","0.0","0.0%"
"177","Cordarrelle Patterson (ATL)","64","232","3.6","13","0","1","21","25","132","6.3","0","0","16","0.0","0.0","17.0%"
"178","Kenjon Barner (FA)","0","0","0","0","0","0","0","1","0","0","0","0","6","0.0","0.0","0.0%"
"179","Derek Watt (FA)","0","0","0","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.1%"
"180","Brandin Bryant (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"181","J.P. Holtz (FA)","0","0","0","0","0","0","0","1","0","0","0","0","16","0.0","0.0","0.0%"
"182","Johnny Stanton IV (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"183","Elijah Holyfield (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"184","Trey Edmunds (FA)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"185","Jason Cabinda (DET)","1","0","0.0","0","0","0","2","3","8","4.0","0","0","16","0.0","0.0","0.0%"
"186","Wendell Smallwood (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
""
""
