Player,Team,REC,YDS,TD,ATT,YDS,TDS,FL
Kyle Philips,TEN,11.7,197.3,0.5,1.1,5.2,0,0.2
Cade Johnson,SEA,14.6,164.6,1.1,0,2.4,0,0
A.T. Perry,NO,0,226,0,0.9,5.6,0,0.2
Tyler Scott,CHI,0,213.7,0,0.9,5.3,0,0.1
Jamal Agnew,JAC,14.6,123.1,0.5,3.7,45.4,0.3,0.1
Bo Melton,GB,12,143.6,0.9,0,7.8,0,0
Dyami Brown,WAS,12.3,160.6,0.6,0.4,7.6,0,0
KhaDarel Hodge,ATL,12.4,136.1,0.9,0,4.1,0,0
Trey Palmer,TB,15.2,166.2,0.5,0.3,1.8,0,0.1
Greg Ward,PHI,11.8,147.1,0.7,0,0.7,0,0
Justyn Ross,KC,1.8,176.7,0.1,1.3,4.6,0.1,0.1
Equanimeous St. Brown,CHI,9.6,135.3,0.6,0.4,11.4,0,0
Parker Washington,JAC,0,177.4,0,0.7,4.4,0,0.1
Zach Pascal,ARI,13.4,140.2,0.5,0.1,0.9,0,0.1
Dee Eskridge,SEA,13.4,111.3,0.5,3,20.9,0.1,0
Steven Sims Jr.,HOU,7.7,96,0.5,0,28,0.2,0.1
Shi Smith,CAR,10.1,130.2,0.5,0.1,2.2,0,0.2
Deonte Harty,BUF,5.6,131.8,0.3,1.7,12.8,0,0.3
David Moore,TB,8.7,104.1,0.6,0,10.4,0.1,0
Tre Nixon,NE,7.6,108.8,0.7,0,5.9,0,0
Trenton Irwin,CIN,13.5,118.9,0.5,0.1,0.7,0,0
Ashton Dulin,IND,9.8,115.1,0.5,0.3,4.7,0,0.1
Kendall Hinton,DEN,9.6,111.1,0.5,0.1,6.2,0,0
Calvin Austin III,PIT,9.3,122.8,0.4,0.3,3.4,0,0.1
Brandon Powell,MIN,12.6,92.5,0.5,1.1,27.4,0,0.1
River Cracraft,MIA,7.5,105.3,0.6,0,0.6,0,0
Andre Baccellia,ARI,9.1,116.9,0.4,0,0,0,0
Deven Thompkins,TB,6.3,85.9,0.4,0,16.6,0.2,0
Nelson Agholor,BAL,3.7,131.8,0.1,0.3,1.2,0,0.3
Damiere Byrd,CAR,7.7,103.4,0.5,0,0.4,0,0
DeAndre Carter,LV,8.7,106.2,0.4,0.6,7.3,0,0.2
Jalen Nailor,MIN,9.4,95.3,0.6,0.2,1.5,0,0
Tre'Quan Smith,NO,7.5,103.1,0.4,0.1,0.3,0,0
Phillip Dorsett II,LV,10.6,91.9,0.6,0.1,1.3,0,0
Velus Jones Jr.,CHI,3.4,73.8,0.2,0.4,31.8,0.1,0.1
Scott Miller,ATL,7.4,95.1,0.3,0.4,4.1,0,0
Bryan Edwards,NO,10.5,94.8,0.4,0,1.2,0,0
Tre Tucker,LV,10.7,85.6,0.4,0.2,6.7,0,0
Denzel Mims,DET,5.9,95.7,0.3,0,0.1,0,0
Jalen Tolbert,DAL,3.7,96.4,0.2,0.6,3.3,0,0.1
Lance McCutcheon,LAR,6.5,83.7,0.4,0,0,0,0
Marquez Callaway,DEN,3.4,87.2,0.3,0,0.4,0,0
Cody Thompson,SEA,7.4,85.7,0.4,0,0,0,0
Byron Pringle,WAS,6.8,81.5,0.4,0,0,0,0
Jamison Crowder,NYG,3.3,98.8,0.1,0.1,0.8,0,0.1
Dontayvion Wicks,GB,5.4,90.9,0.2,0.5,3.2,0,0.1
Jakeem Grant Sr.,CLE,5,54.4,0.2,0,24.4,0.2,0
Dante Pettis,CHI,6.5,79.8,0.2,0.1,4.5,0,0
Ray-Ray McCloud III,SF,3.9,46.4,0.2,2.8,26.9,0.3,0.1
Andrei Iosivas,CIN,0,93.7,0,0.4,2.4,0,0.1
Mike Strachan,IND,5.7,68.3,0.3,0,0,0,0
Cole Beasley,NYG,7.5,62.9,0.4,0,0,0,0
Jalen Reagor,MIN,4.4,51.4,0.2,2.9,11.5,0.1,0.1
Jason Brownlee,NYJ,4.5,52.8,0.4,0,1.9,0,0
Simi Fehoko,DAL,4.7,51.3,0.4,0,0.7,0,0
Bryce Ford-Wheaton,NYG,0,70.1,0,0.3,1.8,0,0
Joe Reed,CHI,2.7,48.1,0.2,0,7.7,0,0
Kaylon Geiger Sr.,TB,3.3,46.3,0.3,0,5.3,0.1,0
Tom Kennedy,DET,3.6,48.5,0.3,0,0,0,0
Maurice Alexander,DET,3.6,48.3,0.3,0,0,0,0
Gunner Olszewski,PIT,2.2,37.9,0.2,0,20.5,0,0
Matthew Slater,NE,2.1,54.4,0.2,0,1.1,0,0
Trinity Benson,DET,3.5,46.9,0.3,0,0,0,0
Isaiah Coulter,BUF,3.6,44.5,0.3,0,0,0,0
Easop Winston Jr.,SEA,3.6,48.1,0.2,0,2.1,0,0
Dennis Houston,DAL,3.5,42.3,0.3,0,0,0,0
KaVontae Turpin,DAL,3.6,45.5,0.2,0.2,3.5,0,0
Stanley Morgan Jr.,CIN,3.8,42.9,0.3,0,0,0,0
Danny Gray,SF,1.5,54.7,0.1,0.4,2.3,0,0.1
KeeSean Johnson,BUF,3.6,41,0.3,0,0,0,0
Jacob Harris,JAC,3.7,46.2,0.2,0,0,0,0
Jalen Virgil,DEN,3.4,42.7,0.3,0,0,0,0
Montrell Washington,DEN,2.9,41.9,0.2,0.1,7.5,0,0
Jaelon Darden,CLE,2.4,45.2,0.2,0,2.9,0,0
Kevin Austin Jr.,JAC,3.3,42.5,0.2,0,1.4,0,0
