"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"247","Ty Montgomery (NE)","3","6","27","9.0","17","0","0","19","101","0","0","6","0.0","0.0","0.7%"
"248","Kevin White (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"249","Chris Moore (TEN)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.6%"
"250","Tajae Sharpe (FA)","0","3","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"251","Johnny Holton (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"252","DeAndre Carter (LV)","1","2","8","8.0","8","0","0","0","0","0","1","13","-0.2","0.0","0.6%"
"253","Dede Westbrook (FA)","1","1","4","4.0","4","0","0","0","0","0","1","2","-0.6","-0.3","0.0%"
"254","Kendall Hinton (DEN)","0","0","0","0","0","0","0","2","7","0","0","1","-0.8","-0.8","0.1%"
"255","Dwayne Harris (FA)","0","0","0","0","0","0","0","0","0","0","1","3","-2.0","-0.7","0.0%"
"256","Nsimba Webster (CHI)","0","0","0","0","0","0","0","0","0","0","1","16","-2.0","-0.1","0.0%"
""
""
