,Player,Team,REC,YDS,TD,ATT,YDS.1,TDS,FL,Prediction
158,Andre Baccellia,ARI,9.1,116.9,0.4,0.0,0.0,0.0,0.0,7.028985
159,Deven Thompkins,TB,6.3,85.9,0.4,0.0,16.6,0.2,0.0,7.028985
160,Nelson Agholor,BAL,3.7,131.8,0.1,0.3,1.2,0.0,0.3,9.286711
161,Damiere Byrd,CAR,7.7,103.4,0.5,0.0,0.4,0.0,0.0,7.046532
162,DeAndre Carter,LV,8.7,106.2,0.4,0.6,7.3,0.0,0.2,7.028985
163,Jalen Nailor,MIN,9.4,95.3,0.6,0.2,1.5,0.0,0.0,7.046532
164,Tre'Quan Smith,NO,7.5,103.1,0.4,0.1,0.3,0.0,0.0,7.028985
165,Phillip Dorsett II,LV,10.6,91.9,0.6,0.1,1.3,0.0,0.0,6.6703844
166,Velus Jones Jr.,CHI,3.4,73.8,0.2,0.4,31.8,0.1,0.1,9.286711
167,Scott Miller,ATL,7.4,95.1,0.3,0.4,4.1,0.0,0.0,7.028985
168,Bryan Edwards,NO,10.5,94.8,0.4,0.0,1.2,0.0,0.0,6.6528373
169,Tre Tucker,LV,10.7,85.6,0.4,0.2,6.7,0.0,0.0,6.6528373
170,Denzel Mims,DET,5.9,95.7,0.3,0.0,0.1,0.0,0.0,7.028985
171,Jalen Tolbert,DAL,3.7,96.4,0.2,0.6,3.3,0.0,0.1,9.286711
172,Lance McCutcheon,LAR,6.5,83.7,0.4,0.0,0.0,0.0,0.0,7.028985
173,Marquez Callaway,DEN,3.4,87.2,0.3,0.0,0.4,0.0,0.0,9.286711
174,Cody Thompson,SEA,7.4,85.7,0.4,0.0,0.0,0.0,0.0,7.028985
175,Byron Pringle,WAS,6.8,81.5,0.4,0.0,0.0,0.0,0.0,7.028985
176,Jamison Crowder,NYG,3.3,98.8,0.1,0.1,0.8,0.0,0.1,9.286711
177,Dontayvion Wicks,GB,5.4,90.9,0.2,0.5,3.2,0.0,0.1,7.028985
178,Jakeem Grant Sr.,CLE,5.0,54.4,0.2,0.0,24.4,0.2,0.0,7.028985
179,Dante Pettis,CHI,6.5,79.8,0.2,0.1,4.5,0.0,0.0,7.028985
180,Ray-Ray McCloud III,SF,3.9,46.4,0.2,2.8,26.9,0.3,0.1,8.739937
181,Andrei Iosivas,CIN,0.0,93.7,0.0,0.4,2.4,0.0,0.1,9.286711
182,Mike Strachan,IND,5.7,68.3,0.3,0.0,0.0,0.0,0.0,7.028985
183,Cole Beasley,NYG,7.5,62.9,0.4,0.0,0.0,0.0,0.0,7.028985
184,Jalen Reagor,MIN,4.4,51.4,0.2,2.9,11.5,0.1,0.1,8.739937
185,Jason Brownlee,NYJ,4.5,52.8,0.4,0.0,1.9,0.0,0.0,7.028985
186,Simi Fehoko,DAL,4.7,51.3,0.4,0.0,0.7,0.0,0.0,6.4822083
187,Bryce Ford-Wheaton,NYG,0.0,70.1,0.0,0.3,1.8,0.0,0.0,9.286711
188,Joe Reed,CHI,2.7,48.1,0.2,0.0,7.7,0.0,0.0,8.739937
189,Kaylon Geiger Sr.,TB,3.3,46.3,0.3,0.0,5.3,0.1,0.0,8.739937
190,Tom Kennedy,DET,3.6,48.5,0.3,0.0,0.0,0.0,0.0,8.739937
191,Maurice Alexander,DET,3.6,48.3,0.3,0.0,0.0,0.0,0.0,8.739937
192,Gunner Olszewski,PIT,2.2,37.9,0.2,0.0,20.5,0.0,0.0,8.508187
193,Matthew Slater,NE,2.1,54.4,0.2,0.0,1.1,0.0,0.0,9.286711
194,Trinity Benson,DET,3.5,46.9,0.3,0.0,0.0,0.0,0.0,8.739937
195,Isaiah Coulter,BUF,3.6,44.5,0.3,0.0,0.0,0.0,0.0,8.739937
196,Easop Winston Jr.,SEA,3.6,48.1,0.2,0.0,2.1,0.0,0.0,8.739937
197,Dennis Houston,DAL,3.5,42.3,0.3,0.0,0.0,0.0,0.0,8.739937
198,KaVontae Turpin,DAL,3.6,45.5,0.2,0.2,3.5,0.0,0.0,8.739937
199,Stanley Morgan Jr.,CIN,3.8,42.9,0.3,0.0,0.0,0.0,0.0,8.739937
200,Danny Gray,SF,1.5,54.7,0.1,0.4,2.3,0.0,0.1,9.286711
201,KeeSean Johnson,BUF,3.6,41.0,0.3,0.0,0.0,0.0,0.0,8.739937
202,Jacob Harris,JAC,3.7,46.2,0.2,0.0,0.0,0.0,0.0,8.739937
203,Jalen Virgil,DEN,3.4,42.7,0.3,0.0,0.0,0.0,0.0,8.739937
204,Montrell Washington,DEN,2.9,41.9,0.2,0.1,7.5,0.0,0.0,8.739937
205,Jaelon Darden,CLE,2.4,45.2,0.2,0.0,2.9,0.0,0.0,8.739937
206,Kevin Austin Jr.,JAC,3.3,42.5,0.2,0.0,1.4,0.0,0.0,8.739937
207,Cam Sims,LV,3.4,50.9,0.1,0.1,0.4,0.0,0.0,8.739937
208,Alex Erickson,NYJ,3.6,40.5,0.2,0.0,0.0,0.0,0.0,8.739937
209,Brandon Johnson,DEN,3.2,39.8,0.2,0.0,0.7,0.0,0.0,8.739937
210,Erik Ezukanma,MIA,3.6,42.2,0.2,0.0,0.0,0.0,0.0,8.739937
211,James Proche II,BAL,2.1,42.2,0.1,0.0,2.9,0.0,0.0,8.739937
212,Miles Boykin,PIT,3.3,41.5,0.2,0.0,0.0,0.0,0.0,8.739937
213,Trent Taylor,CIN,2.3,32.2,0.2,0.0,5.8,0.0,0.0,8.508187
214,C.J. Saunders,CAR,3.4,40.1,0.2,0.0,0.0,0.0,0.0,8.739937
215,Dez Fitzpatrick,PIT,3.3,40.4,0.2,0.0,0.0,0.0,0.0,8.739937
216,Cody White,PIT,3.4,39.9,0.2,0.0,0.0,0.0,0.0,8.739937
217,Daylen Baldwin,CLE,3.1,39.0,0.2,0.0,0.0,0.0,0.0,8.739937
218,Keke Coutee,NO,3.4,39.0,0.2,0.0,0.0,0.0,0.0,8.739937
219,Marquez Stevenson,CAR,3.1,38.9,0.2,0.0,0.0,0.0,0.0,8.508187
220,Keelan Cole Sr.,LV,3.3,38.8,0.2,0.0,0.0,0.0,0.0,8.508187
221,Mason Kinsey,TEN,3.1,38.5,0.2,0.0,0.0,0.0,0.0,8.508187
222,Michael Woods II,CLE,3.1,38.2,0.2,0.0,0.0,0.0,0.0,8.508187
223,Racey McMath,TEN,3.0,37.8,0.2,0.0,0.0,0.0,0.0,8.508187
224,Justin Shorter,BUF,0.0,46.6,0.0,0.2,1.2,0.0,0.0,8.739937
225,David Sills V,NYG,0.0,45.1,0.0,0.3,2.0,0.0,0.0,8.739937
226,Chris Conley,SF,3.0,35.8,0.2,0.0,0.0,0.0,0.0,8.508187
227,Tylan Wallace,BAL,3.0,39.8,0.1,0.2,1.0,0.0,0.0,8.739937
228,Malik Turner,IND,2.9,35.7,0.2,0.0,0.0,0.0,0.0,8.508187
229,Vyncint Smith,IND,2.8,34.1,0.2,0.0,0.0,0.0,0.0,8.508187
230,Anthony Schwartz,CLE,3.0,32.0,0.1,0.6,5.6,0.1,0.1,8.508187
231,Josh Ali,ATL,2.8,32.7,0.2,0.0,0.0,0.0,0.0,8.508187
232,Tim Jones,JAC,2.3,33.8,0.1,0.0,0.6,0.0,0.0,8.508187
233,Quintez Cephus,DET,0.0,42.0,0.0,0.0,0.0,0.0,0.0,8.739937
234,Andy Isabella,BUF,0.4,24.4,0.1,0.0,10.1,0.1,0.0,8.508187
235,Dezmon Patmon,BUF,2.4,28.3,0.2,0.0,0.1,0.0,0.0,8.508187
236,Frank Darby,ATL,1.6,31.1,0.1,0.0,0.5,0.0,0.0,8.508187
237,Austin Trammell,LAR,1.7,31.7,0.1,0.0,0.4,0.0,0.0,8.508187
238,Daurice Fountain,CHI,2.4,28.7,0.2,0.0,0.0,0.0,0.0,8.508187
239,Nsimba Webster,CHI,2.4,28.5,0.2,0.0,0.0,0.0,0.0,8.508187
240,Keith Kirkwood,NO,2.4,29.9,0.1,0.0,0.1,0.0,0.0,8.508187
241,Dax Milne,WAS,3.5,33.9,0.1,0.1,0.8,0.0,0.2,8.508187
242,James Washington,NO,2.1,27.8,0.1,0.0,0.1,0.0,0.0,8.508187
243,Jalen Camp,HOU,1.6,24.3,0.1,0.0,3.3,0.0,0.0,8.508187
244,Seth Williams,JAC,2.0,25.5,0.1,0.0,0.1,0.0,0.0,8.508187
245,Kawaan Baker,NO,1.6,20.0,0.2,0.0,0.0,0.0,0.0,8.508187
246,Dareke Young,SEA,2.7,21.6,0.1,0.1,0.4,0.0,0.0,8.508187
247,Demetric Felton Jr.,CLE,0.0,23.2,0.0,0.1,0.6,0.0,0.0,8.508187
248,Juwann Winfree,IND,0.0,22.4,0.0,0.2,1.0,0.0,0.0,8.508187
249,Breshad Perriman,IND,1.1,16.6,0.1,0.0,0.7,0.0,0.0,8.508187
250,Keelan Doss,LAC,0.5,7.0,0.1,0.0,0.6,0.0,0.0,8.508187
251,Britain Covey,PHI,0.0,8.1,0.0,0.0,1.1,0.0,0.0,8.508187
