,Player,Prediction,Actual,% Error
168,Diontae Johnson (PIT),12.401774,10.6,16.997871758802884
169,Jakobi Meyers (LV),12.618625,12.9,2.1812039752339234
170,Adam Thielen (CAR),12.560222,10.6,18.492657283567038
171,Drake London (ATL),12.7500515,10.5,21.429061889648438
172,Mike Williams (LAC),12.314852,13.6,9.449619405409866
173,Curtis Samuel (WAS),10.65008,10.4,2.4046127612774155
174,Tyler Boyd (CIN),12.013489,10.3,16.635813296419894
175,Allen Lazard (NYJ),12.495683,11.7,6.800706977518202
176,Gabe Davis (BUF),11.628721,11.4,2.006326641952779
177,Joshua Palmer (LAC),11.371687,10.6,7.280065428535896
178,Deebo Samuel (SF),8.207037,13.0,36.8689463688777
179,Donovan Peoples-Jones (CLE),11.601147,9.8,18.379047938755573
180,George Pickens (PIT),10.408651,9.8,6.210728080905207
181,Christian Watson (GB),10.649334,11.7,8.980051676432286
182,Keenan Allen (LAC),11.241623,16.4,31.453518751190924
183,Courtland Sutton (DEN),9.507516,10.6,10.30645370483398
184,Marquise Brown (ARI),11.183082,13.0,13.976295177753157
185,K.J. Osborn (MIN),10.255555,9.2,11.473425574924644
186,Mack Hollins (ATL),10.954987,9.1,20.384467827094785
187,DeAndre Hopkins (TEN),10.90143,16.9,35.494496272160454
188,Parris Campbell (NYG),10.082342,8.8,14.572069861672132
189,Brandin Cooks (DAL),10.786277,11.2,3.6939569881984102
190,Richie James Jr. (KC),10.662724,8.3,28.46654868987668
191,Jahan Dotson (WAS),8.794683,10.9,19.31483067503763
192,Darius Slayton (NYG),8.521693,9.9,13.922290609340479
193,Russell Gage (TB),8.833013,9.5,7.020920201351768
194,Marquez Valdes-Scantling (KC),8.390737,7.2,16.538008054097492
195,Isaiah McKenzie (IND),8.73394,7.5,16.452534993489586
196,Marvin Jones Jr. (DET),9.340461,7.3,27.95151749702349
197,Kalif Raymond (DET),7.6138496,6.8,11.9683770572438
198,Devin Duvernay (BAL),7.664187,8.3,7.6603981385748146
199,Robert Woods (HOU),8.150749,6.8,19.863958919749543
200,Chris Moore (TEN),7.9622254,7.7,3.4055251579780057
201,Noah Brown (HOU),8.937854,7.2,24.136858516269257
202,Greg Dortch (ARI),7.695636,7.1,8.389236557651579
203,DeAndre Carter (LV),8.805303,6.6,33.41367605960731
204,Alec Pierce (IND),7.9622254,7.0,13.746077673775808
205,Olamide Zaccheaus (PHI),8.805303,6.5,35.46619415283203
206,Michael Gallup (DAL),8.153221,7.5,8.709615071614584
207,Chase Claypool (CHI),6.983195,7.0,0.2400738852364676
208,Josh Reynolds (DET),7.3528,8.7,15.485058707752438
209,Demarcus Robinson (LAR),7.621795,6.5,17.258387345534103
210,DeVante Parker (NE),8.004877,7.9,1.3275581070139393
211,Romeo Doubs (GB),8.153221,7.8,4.5284760303986396
212,Darnell Mooney (CHI),7.8973126,9.2,14.159645204958702
213,Rashid Shaheed (NO),7.563913,8.4,9.953418232145768
214,Isaiah Hodgins (NYG),7.3528,11.1,33.75855952769786
215,DJ Chark Jr. (CAR),7.9993267,8.9,10.119924652442506
216,Corey Davis (NYJ),7.608489,7.5,1.446520487467448
217,Nico Collins (HOU),7.569463,9.7,21.96430127645276
218,Mecole Hardman Jr. (NYJ),7.3089857,11.7,37.53003666543553
219,Marquise Goodwin (CLE),7.34725,6.9,6.481883836829139
220,Kendrick Bourne (NE),6.694371,5.5,21.71584042635831
221,Elijah Moore (CLE),6.694371,5.5,21.71584042635831
222,Treylon Burks (TEN),6.694371,8.0,16.320359706878662
223,Rondale Moore (ARI),6.983195,11.0,36.51641065424139
224,Allen Robinson II (PIT),7.3145356,8.5,13.946639790254482
225,Ben Skowronek (LAR),6.983195,6.0,16.38658046722412
226,Trent Sherfield (BUF),7.3274226,5.2,40.911973439730126
227,Terrace Marshall Jr. (CAR),6.964338,6.4,8.817778527736658
228,Nick Westbrook-Ikhine (TEN),7.34725,5.2,41.29326893733097
